number,value,datetime_start,datetime_complete,duration,params_class_1_weight,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_threshold,state
115,-0.7189056129473632,2025-12-07 14:59:30.471130,2025-12-07 15:00:02.845204,0 days 00:00:32.374074,2.3560327842856346,0.7779357264155375,0.5544666944506872,0.07687021162646532,3,10,16,284,4.551533211701771,0.7077290253284196,0.7863804544216599,0.8587965789046205,0.5685664487246332,COMPLETE
116,-0.7197193540922502,2025-12-07 14:59:32.907361,2025-12-07 14:59:58.347600,0 days 00:00:25.440239,2.3026795157840754,0.7768694589716008,1.2037037987389054,0.07749177353336369,3,4,13,287,2.284843651862903,0.1840047932130099,0.851377212432957,0.8542558356628819,0.5675105019261943,COMPLETE
117,-0.7193865310605292,2025-12-07 14:59:34.145692,2025-12-07 14:59:59.472061,0 days 00:00:25.326369,2.379473046375341,0.7753378967362095,0.5478164839560594,0.07800255777411111,3,4,13,282,4.670450117312786,0.6822722307335713,0.7865988368302365,0.7707403138393514,0.5644211520615711,COMPLETE
118,-0.7199192998444122,2025-12-07 14:59:35.480070,2025-12-07 15:00:07.879577,0 days 00:00:32.399507,2.375045167714027,0.774519663021975,1.1993529032998207,0.07703451417552401,3,10,16,334,2.217834011707534,0.6722478622627575,0.7988356387478158,0.758394122332758,0.5589080289066445,COMPLETE
119,-0.7179537947607673,2025-12-07 14:59:37.980383,2025-12-07 15:00:08.889966,0 days 00:00:30.909583,2.236872389068992,0.7847562306632588,1.2050790336599262,0.07958334633512637,3,10,13,257,2.263517079235433,0.6658639998159379,0.8148492209680849,0.7670538205707675,0.5651900140557726,COMPLETE
120,-0.718312723720375,2025-12-07 14:59:39.511489,2025-12-07 15:00:08.852237,0 days 00:00:29.340748,2.3552832654189997,0.7760548745724198,1.058114923858422,0.07796355825377074,3,10,13,278,2.3069559322531523,0.6461385134376953,0.794685683189891,0.8593484929175507,0.5679925513626609,COMPLETE
121,-0.7189847797251707,2025-12-07 14:59:39.602201,2025-12-07 15:00:11.218420,0 days 00:00:31.616219,2.397705740160045,0.7753082016613327,1.1975684227114247,0.07850421014088246,3,10,13,251,2.2218491131303377,0.11191832586142093,0.8093952716025341,0.7667947655934115,0.5676801992935124,COMPLETE
122,-0.7150116367753304,2025-12-07 14:59:39.816136,2025-12-07 15:00:13.495046,0 days 00:00:33.678910,2.3144305826676206,0.7774733462298797,1.1883877670599403,0.0805433654997274,3,10,13,237,2.281580225415574,0.6534095763224045,0.7569433757221496,0.7703436329508664,0.5647997869722035,COMPLETE
123,-0.7238988586995374,2025-12-07 14:59:40.824173,2025-12-07 15:00:13.036239,0 days 00:00:32.212066,2.41055428194618,0.7758397518339394,1.1977526410722246,0.07924179994432735,3,10,16,231,2.277004958356259,0.13735738325806263,0.7800418067593694,0.8545300729542462,0.5084916207171821,COMPLETE
124,-0.723515117247551,2025-12-07 14:59:40.938153,2025-12-07 15:00:12.887367,0 days 00:00:31.949214,2.3954379845898863,0.7894672673031976,1.1939546148234526,0.07833686602994744,3,10,16,250,2.2038614594224892,0.13630652759097645,0.7919699228782175,0.8392854003368398,0.5060156147662132,COMPLETE
125,-0.7234425923671737,2025-12-07 14:59:41.440305,2025-12-07 15:00:22.027796,0 days 00:00:40.587491,2.582056065948152,0.7857331814424395,0.618231863568296,0.06350361215851143,3,10,16,256,4.3894066407197165,0.12212148884642987,0.8348212550595421,0.8613501156252898,0.5529591699488556,COMPLETE
126,-0.7229337830405257,2025-12-07 14:59:43.505625,2025-12-07 15:00:13.452612,0 days 00:00:29.946987,2.6068639526042086,0.784712824001635,1.1925615994220007,0.0823004324953655,3,10,13,237,2.307949131000271,0.1295280993137941,0.7586101067066366,0.8392525564680229,0.5067190197940373,COMPLETE
127,-0.7230298025737896,2025-12-07 14:59:44.390765,2025-12-07 15:00:24.407159,0 days 00:00:40.016394,2.6053958654509124,0.7816521751078108,0.5974863611756411,0.05919192732259403,3,10,13,253,2.2111497932786097,0.6474101592652576,0.7942949240816487,0.7711136127864454,0.5068546312713753,COMPLETE
128,-0.7220932546563128,2025-12-07 14:59:44.603844,2025-12-07 15:00:14.215927,0 days 00:00:29.612083,2.454375357672832,0.7796445407033133,1.2119096694237854,0.08258313090576223,3,10,13,257,2.2035455759408453,0.12380822047901308,0.9139924991873491,0.8396786876146733,0.5044245819181657,COMPLETE
129,-0.7219682619566002,2025-12-07 14:59:45.593426,2025-12-07 15:00:27.012826,0 days 00:00:41.419400,2.5557381325077735,0.7425793368109602,1.5824244981739617,0.05658845335164241,3,10,13,251,2.239673798082709,0.10614571956270613,1.0030709553583042,0.8392482982940582,0.5039774104782299,COMPLETE
130,-0.7228834969905763,2025-12-07 14:59:47.139470,2025-12-07 15:00:27.654486,0 days 00:00:40.515016,2.556725524904326,0.771386442755066,0.626133964061104,0.06390592541803018,3,10,13,258,2.2582975078475105,0.11566450273153134,0.9246234808251748,0.8315246346880378,0.5081821525122893,COMPLETE
131,-0.7228456764086566,2025-12-07 14:59:49.827576,2025-12-07 15:00:30.265500,0 days 00:00:40.437924,2.585970969428072,0.7242079874043142,1.2119497750678698,0.06018194857568185,3,10,13,252,2.387288099492417,0.09199472014835569,0.9214721517959681,0.7707178303754655,0.5484198101072881,COMPLETE
