number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_weight_ratio_0,params_weight_ratio_1,state
236,-0.7090244460506477,2025-12-07 13:29:07.690748,2025-12-07 13:29:30.499518,0 days 00:00:22.808770,0.7349370535100467,0.39495041752211413,0.0434918455064419,6,6,8,438,4.633834413899409,0.965590034620801,1.7112565557146908,0.8110147356013611,1.205254361469082,0.8693347197090648,COMPLETE
237,-0.7118837886089713,2025-12-07 13:29:07.832697,2025-12-07 13:29:43.639440,0 days 00:00:35.806743,0.8000295555599894,0.40031961806436833,0.04082504744462996,6,6,10,709,4.614320031778999,1.1631202353201242,1.724459244178894,0.7663022275393138,1.1768594882209458,0.8999306903497787,COMPLETE
238,-0.6838035930518235,2025-12-07 13:29:09.157002,2025-12-07 13:29:15.176200,0 days 00:00:06.019198,0.795808137284205,0.4057959650276304,0.04326091933586542,6,6,10,86,4.62638973436328,1.225647368547877,1.778562184538819,0.8454893484352828,1.1471886509372804,0.9010869996415003,COMPLETE
239,-0.7089592222595641,2025-12-07 13:29:11.153491,2025-12-07 13:29:33.470971,0 days 00:00:22.317480,0.7988790810239743,0.39035347292350775,0.049415837764205536,6,6,10,429,4.647149687072411,1.299830301777639,1.7291536550821776,0.8125295383891309,1.1789876513039628,0.9012478655899507,COMPLETE
240,-0.7084080819681328,2025-12-07 13:29:12.016762,2025-12-07 13:29:37.155731,0 days 00:00:25.138969,0.7959977490945943,0.3781294409946382,0.04127039840375155,3,6,10,486,4.6209288657354195,1.1857413475637595,1.7710759606327298,0.8318399986184232,1.186552423123361,0.8787711513521748,COMPLETE
241,-0.7072777000408271,2025-12-07 13:29:12.689563,2025-12-07 13:29:35.148125,0 days 00:00:22.458562,0.8015483937087987,0.4136099518616919,0.05892251178354294,3,6,10,430,4.610429652652178,1.2147961353744636,1.7792427812942098,0.7657503398807625,1.1454514085462102,0.8870873455727039,COMPLETE
242,-0.7087429404259823,2025-12-07 13:29:13.130188,2025-12-07 13:29:35.282617,0 days 00:00:22.152429,0.8011893885413931,0.2168844746490661,0.04796610641936856,3,6,10,426,4.602941580657442,1.2651671278149506,1.7640166033143503,0.8305965050784611,1.1888102991654494,0.8927699388203995,COMPLETE
243,-0.7080359111283161,2025-12-07 13:29:13.315460,2025-12-07 13:29:34.661831,0 days 00:00:21.346371,0.7949808842632957,0.7023110215045992,0.042708374563280006,3,7,10,480,4.611980588900772,1.1878733552216516,1.540207975746881,0.7386880156632436,1.1983699833867527,0.8922296052488587,COMPLETE
244,-0.7076857034186766,2025-12-07 13:29:14.253699,2025-12-07 13:29:36.811471,0 days 00:00:22.557772,0.8124530389878628,1.7326299016054802,0.042405971874995785,6,6,10,434,4.630511439736205,1.1994928301500334,1.786107533133846,0.8653067312353797,1.1417642104340253,0.8526535513079546,COMPLETE
245,-0.7072920385063584,2025-12-07 13:29:14.696607,2025-12-07 13:29:36.993090,0 days 00:00:22.296483,0.8145992782786293,0.2159311450840622,0.036662293413430684,6,6,10,422,4.596875505814892,1.1598704818629935,1.7185311831321786,0.833840725636898,1.188967264279461,0.8904264344113952,COMPLETE
246,-0.6998649759674337,2025-12-07 13:29:15.178890,2025-12-07 13:29:28.311017,0 days 00:00:13.132127,0.8131270600715501,0.2391170147221141,0.04079762935667998,6,6,6,434,4.571836637545415,0.9153430225374293,1.5422988608705728,0.830757019655011,1.1771149355782364,0.8700122655493671,COMPLETE
247,-0.7023572420817169,2025-12-07 13:29:16.326665,2025-12-07 13:29:31.099279,0 days 00:00:14.772614,0.8163280538764179,0.6866204020400255,0.04121311968671086,3,6,10,483,4.8632895645149,1.1270186289862252,1.5568587396755134,0.8342815282912167,1.184990483412805,0.89433789455662,COMPLETE
248,-0.7106497110773183,2025-12-07 13:29:16.582673,2025-12-07 13:29:44.256639,0 days 00:00:27.673966,0.7813166015166414,0.612173917775696,0.0444002767737903,3,8,10,429,4.621289823070931,1.1361312993034267,1.782227128682509,0.8654452711436676,1.1834002139178121,0.8884824501869244,COMPLETE
249,-0.7103441546854968,2025-12-07 13:29:17.398562,2025-12-07 13:29:44.941874,0 days 00:00:27.543312,0.7826630796152939,0.7108558320168532,0.044968273962059206,8,8,10,426,4.7160716702802645,0.9768297137144784,1.780990030652453,0.8477684963700663,1.1851562250121064,0.8896945226392512,COMPLETE
250,-0.6119633792733045,2025-12-07 13:29:18.537725,2025-12-07 13:29:24.625921,0 days 00:00:06.088196,0.8161301387120441,0.21873271053185142,0.042038201455234715,8,8,10,427,2.810954370363107,1.15466047796346,0.744101604798717,0.8489739544959776,1.1859966212541098,0.8923945699723794,COMPLETE
251,-0.7111623977232125,2025-12-07 13:29:19.143039,2025-12-07 13:29:46.660217,0 days 00:00:27.517178,0.8134504612648316,0.22497925749499575,0.04551975134143641,7,8,9,425,4.466883045599423,0.9822925159736295,1.5464163104829673,0.8491315614880085,1.181763041781442,0.8882884006049984,COMPLETE
252,-0.7036234806189631,2025-12-07 13:29:20.269111,2025-12-07 13:29:37.277150,0 days 00:00:17.008039,0.8118389698102475,0.2211281923224947,0.04518556412626428,6,7,9,279,4.90771842163339,0.9697128434170724,1.75245022586192,0.8485190406779126,1.1970207819331584,0.9710268236089831,COMPLETE
253,-0.7070824845123598,2025-12-07 13:29:22.994616,2025-12-07 13:29:40.004078,0 days 00:00:17.009462,0.8176659006469194,0.23095739952174887,0.08021924460418665,3,6,9,428,4.747734339010716,0.6854129166124582,1.5483994345138627,0.7960029145643701,1.1927840427482599,0.8889693372757753,COMPLETE
254,-0.7089048809368771,2025-12-07 13:29:23.153171,2025-12-07 13:29:45.042081,0 days 00:00:21.888910,0.800502701121299,0.4318406411982498,0.0806621448177763,6,6,9,427,4.84868285821048,0.9598825533253811,1.7352172073077727,0.7982343086275493,1.1921459691441312,0.8913307109462147,COMPLETE
255,-0.7055578752990086,2025-12-07 13:29:23.413086,2025-12-07 13:29:40.168324,0 days 00:00:16.755238,0.8005878085454644,0.4127308282106163,0.07958774330268674,6,6,9,423,4.860690207084679,1.0130786855021194,1.5469276818055286,0.8332945249279671,1.171555915047728,0.8922914238901727,COMPLETE
256,-0.7087332016985727,2025-12-07 13:29:24.628804,2025-12-07 13:29:46.570461,0 days 00:00:21.941657,0.7943489108674656,0.6159252076485422,0.0810907110877896,6,6,9,430,1.3807129317416862,0.6631741965781267,1.5425961045308583,0.8649008206638794,1.2081541694722875,1.007843283993427,COMPLETE
257,-0.7024099524380141,2025-12-07 13:29:25.789955,2025-12-07 13:29:47.208947,0 days 00:00:21.418992,0.7988390203561522,0.4150475519185983,0.04558545301780894,6,6,9,406,4.866881377318316,0.9355806719065443,1.7626975531842908,0.8330652761032774,1.2034137060753642,1.010335779110457,COMPLETE
258,-0.7100146730489957,2025-12-07 13:29:26.510615,2025-12-07 13:29:47.698268,0 days 00:00:21.187653,0.8115554369296339,0.6820732048281996,0.07169131973161358,6,6,9,408,4.8846705380895115,3.229815214778847,1.7773160585765144,0.7969233061727825,1.196008564400859,0.8880522008635958,COMPLETE
