number,value,datetime_start,datetime_complete,duration,params_class_1_weight,params_colsample_bytree,params_gamma,params_learning_rate,params_max_delta_step,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_scale_pos_weight,params_subsample,params_threshold,state
109,-0.7263375077127178,2025-12-07 14:19:52.175123,2025-12-07 14:20:27.703900,0 days 00:00:35.528777,4.415101604747676,0.8194400583683247,1.3777801379029142,0.06703320707206573,5,7,20,475,3.9928456262923704,2.4417184333282727,2.776673558492937,0.6635285507117105,0.27824488713589474,COMPLETE
110,-0.7261510491505833,2025-12-07 14:19:52.261244,2025-12-07 14:20:28.081113,0 days 00:00:35.819869,4.33900546886468,0.7263938609230846,1.404523215764313,0.06441280558780328,5,7,20,489,3.868840512394134,2.4061296517118556,2.8380704755410675,0.6782182078176304,0.283439194665483,COMPLETE
111,-0.7269084252398177,2025-12-07 14:19:53.642964,2025-12-07 14:20:43.752358,0 days 00:00:50.109394,4.32735059820006,0.734108365157313,1.4063176989434987,0.04471893735596372,5,7,20,500,3.93228461348671,2.481419692938739,2.7962961377269138,0.666350862625579,0.2879784383261072,COMPLETE
112,-0.7266192109233961,2025-12-07 14:20:03.236646,2025-12-07 14:20:50.984034,0 days 00:00:47.747388,4.423187915445113,0.7314876513140515,1.4344168660972927,0.04320395379898604,5,7,20,492,4.983237235543711,2.842019677341652,2.8238574634580296,0.6789076548463591,0.28222701735345956,COMPLETE
113,-0.7271569969113527,2025-12-07 14:20:04.308532,2025-12-07 14:20:41.394719,0 days 00:00:37.086187,4.297363746649313,0.7388400279368921,0.5030081999705415,0.06545438652355216,5,7,20,470,2.9373983238566317,2.4659948640407707,2.828049760502576,0.6747478970031988,0.2908606825608208,COMPLETE
114,-0.7272604672191106,2025-12-07 14:20:06.118355,2025-12-07 14:20:54.640136,0 days 00:00:48.521781,4.239384048039396,0.8215200202232987,0.4758381430865102,0.041844016969314383,5,7,20,470,3.932538743602728,2.378321022507568,2.83561806327328,0.6756432322664284,0.2980075969785445,COMPLETE
115,-0.7271663216785542,2025-12-07 14:20:09.710547,2025-12-07 14:20:51.135606,0 days 00:00:41.425059,4.272913071024146,0.7422715463741935,0.48221601238970957,0.04412927137981469,5,7,20,378,4.759723338036017,2.398262560165829,2.8196733740743136,0.6753443435558163,0.30660258007052793,COMPLETE
116,-0.7257195553045553,2025-12-07 14:20:11.075947,2025-12-07 14:20:52.146986,0 days 00:00:41.071039,4.291973926596042,0.7538451160591297,0.4990567386172658,0.03989797813898893,5,7,20,359,0.9693446318294006,2.3172236123808316,2.8353481840131023,0.6743116317632958,0.27395556309767366,COMPLETE
117,-0.7265862274399616,2025-12-07 14:20:12.894287,2025-12-07 14:20:59.981693,0 days 00:00:47.087406,4.3300824753335245,0.7543647048854923,1.4158992550692864,0.044490803130666376,5,7,20,462,4.964904586183941,2.4347289037521476,2.7476317992546333,0.6699262601402456,0.27706998491163337,COMPLETE
118,-0.7264312126947299,2025-12-07 14:20:15.458477,2025-12-07 14:20:58.242428,0 days 00:00:42.783951,4.313259919780859,0.752704195323235,1.4197970285807044,0.04201988140874143,5,7,20,379,4.806599847288514,2.416049612063064,2.810963926332176,0.6755035855099162,0.2877620387173798,COMPLETE
